video_title,bvid,comment,comment_time,like_count,reply_count,comment_clean,tokens,tokens_str,sentiment_score,sentiment_label,cluster,x_2d,y_2d
【劳动文化033】一千多万应届毕业生，就业往何处去？为什么他们还要继续科举？,BV1L8Gq6hEyG,去应聘新生儿吧  那边缺口很大[doge],2026-05-23 18:06:22,578,20,去应聘新生儿吧 那边缺口很大,"['应聘', '新生儿', '那边', '缺口', '很大']",应聘 新生儿 那边 缺口 很大,0.8141417056585161,正面,0,0.014501375947368757,-0.01802046823298478
【劳动文化033】一千多万应届毕业生，就业往何处去？为什么他们还要继续科举？,BV1L8Gq6hEyG,删我评论没用啊，这是马克思告诉我的[doge][doge][doge],2026-05-23 17:39:37,24,3,删我评论没用啊，这是马克思告诉我的,"['评论', '没用', '这是', '马克思', '告诉']",评论 没用 这是 马克思 告诉,0.5913423536148984,中性,0,0.021278241754253843,-0.01707529648816694
【劳动文化033】一千多万应届毕业生，就业往何处去？为什么他们还要继续科举？,BV1L8Gq6hEyG,笑鼠了吧市面上单休10小时的工作换成双休八小时我都不敢想可以多出多少就业岗位[doge],2026-05-23 17:12:38,995,93,笑鼠了吧市面上单休10小时的工作换成双休八小时我都不敢想可以多出多少就业岗位,"['笑鼠', '市面上', '单休', '10', '小时', '工作', '换成', '双休', '八小时', '不敢', '多出', '多少', '就业', '岗位']",笑鼠 市面上 单休 10 小时 工作 换成 双休 八小时 不敢 多出 多少 就业 岗位,0.7528446462680531,正面,2,0.2210306056011362,-0.004361693003388751
【劳动文化033】一千多万应届毕业生，就业往何处去？为什么他们还要继续科举？,BV1L8Gq6hEyG,工科也不好找工作。和有工作经验的说年龄，和年轻人说经验，这是我找工作遇到的情况。,2026-05-23 17:32:48,537,20,工科也不好找工作。和有工作经验的说年龄，和年轻人说经验，这是我找工作遇到的情况。,"['工科', '不好', '工作', '工作', '经验', '年龄', '年轻人', '经验', '工作', '遇到', '情况']",工科 不好 工作 工作 经验 年龄 年轻人 经验 工作 遇到 情况,0.3684705668963937,负面,2,0.34295607867698114,0.23523836005225335
【劳动文化033】一千多万应届毕业生，就业往何处去？为什么他们还要继续科举？,BV1L8Gq6hEyG,心里有话,2026-05-23 18:42:21,556,12,心里有话,"['心里', '有话']",心里 有话,0.7499999999999999,正面,0,0.0033274723381360332,-0.0003555223749069781
【劳动文化033】一千多万应届毕业生，就业往何处去？为什么他们还要继续科举？,BV1L8Gq6hEyG,我们的劳动市场。。。会变成什么样子（抽泣）,2026-05-23 17:39:37,212,8,我们的劳动市场。。。会变成什么样子（抽泣）,"['劳动', '市场', '变成', '样子', '抽泣']",劳动 市场 变成 样子 抽泣,0.9588554665436724,正面,0,0.018847672170682565,-0.012328006273078777
【劳动文化033】一千多万应届毕业生，就业往何处去？为什么他们还要继续科举？,BV1L8Gq6hEyG,精彩，一千多万刚出栏的叠加前几年出栏还没找到的，简直吓人[笑哭],2026-05-23 17:03:35,1030,37,精彩，一千多万刚出栏的叠加前几年出栏还没找到的，简直吓人,"['精彩', '一千多万', '出栏', '叠加', '几年', '出栏', '找到', '简直', '吓人']",精彩 一千多万 出栏 叠加 几年 出栏 找到 简直 吓人,0.12606332525320618,负面,0,0.07463898236261278,0.011358391431983805
【劳动文化033】一千多万应届毕业生，就业往何处去？为什么他们还要继续科举？,BV1L8Gq6hEyG,冷知识，6天10小时的工作时长是5天8小时的1.5倍，相当于2个人干了3个人的工[藏狐]为什么没有就业岗位，问题就出在这上面,2026-05-24 12:05:03,56,1,冷知识，6天10小时的工作时长是5天8小时的1 5倍，相当于2个人干了3个人的工为什么没有就业岗位，问题就出在这上面,"['知识', '10', '小时', '工作', '时长', '小时', '相当于', '个人', '个人', '就业', '岗位', '问题', '上面']",知识 10 小时 工作 时长 小时 相当于 个人 个人 就业 岗位 问题 上面,0.006740229198667458,负面,2,0.2019809906604337,-0.03943160179133289
【劳动文化033】一千多万应届毕业生，就业往何处去？为什么他们还要继续科举？,BV1L8Gq6hEyG,去年我们组招的应届生上个月就全裁光了，一年工作经验都没攒够，进来干的还都是些杂活累活重复性工作，东西没学到多少应届生身份还没了，都不知道找下一份工作简历要怎么写，还要面对出门在外租房社保等问题，唉😔😔,2026-05-23 18:42:56,121,3,去年我们组招的应届生上个月就全裁光了，一年工作经验都没攒够，进来干的还都是些杂活累活重复性工作，东西没学到多少应届生身份还没了，都不知道找下一份工作简历要怎么写，还要面对出门在外租房社保等问题，唉,"['去年', '组招', '应届生', '上个月', '全裁光', '一年', '工作', '经验', '没攒够', '进来', '杂活', '累活', '重复性', '工作', '东西', '学到', '多少', '应届生', '身份', '知道', '找下', '一份', '工作', '简历', '还要', '面对', '出门在外', '租房', '社保', '问题']",去年 组招 应届生 上个月 全裁光 一年 工作 经验 没攒够 进来 杂活 累活 重复性 工作 东西 学到 多少 应届生 身份 知道 找下 一份 工作 简历 还要 面对 出门在外 租房 社保 问题,0.0019026385540533708,负面,2,0.31145496467614114,0.12332081555395207
【劳动文化033】一千多万应届毕业生，就业往何处去？为什么他们还要继续科举？,BV1L8Gq6hEyG,那么多失业的青年，壮年，想想就刺激,2026-05-23 17:08:21,26,8,那么多失业的青年，壮年，想想就刺激,"['失业', '青年', '壮年', '想想', '刺激']",失业 青年 壮年 想想 刺激,0.7734882527710119,正面,0,0.04727909063915794,-0.008456124087842302
【劳动文化033】一千多万应届毕业生，就业往何处去？为什么他们还要继续科举？,BV1L8Gq6hEyG,当灵活就业的蓄水池也开始筛人的时候，才是麻烦真的大了的时候,2026-05-23 17:07:34,165,3,当灵活就业的蓄水池也开始筛人的时候，才是麻烦真的大了的时候,"['灵活', '就业', '蓄水池', '开始', '筛人', '时候', '麻烦', '时候']",灵活 就业 蓄水池 开始 筛人 时候 麻烦 时候,0.5472905257542714,中性,0,0.11174178063578635,-0.1294128570750858
【劳动文化033】一千多万应届毕业生，就业往何处去？为什么他们还要继续科举？,BV1L8Gq6hEyG,上山下乡啊[调皮]老祖宗的智慧🉐用起来,2026-05-23 17:22:25,306,38,上山下乡啊老祖宗的智慧 用起来,"['上山下乡', '老祖宗', '智慧', '起来']",上山下乡 老祖宗 智慧 起来,0.9861457679225933,正面,0,0.017963153587880067,-0.009416586680205903
【劳动文化033】一千多万应届毕业生，就业往何处去？为什么他们还要继续科举？,BV1L8Gq6hEyG,今天找工作，看到有一个工作招聘在boss app上面最后一条绷不住了。是卖奶的。前面说的一大堆都是各种福利。最后补上一条，辞职要跟我说一声，不要直接逃跑🤣。,2026-05-23 17:32:19,143,5,今天找工作，看到有一个工作招聘在boss app上面最后一条绷不住了。是卖奶的。前面说的一大堆都是各种福利。最后补上一条，辞职要跟我说一声，不要直接逃跑 。,"['工作', '工作', '招聘', 'boss', 'app', '上面', '一条', '不住', '卖奶', '一大堆', '各种', '福利', '一条', '辞职', '一声', '直接', '逃跑']",工作 工作 招聘 boss app 上面 一条 不住 卖奶 一大堆 各种 福利 一条 辞职 一声 直接 逃跑,0.0006114501140419559,负面,2,0.19272967477739783,0.09897029039759599
【劳动文化033】一千多万应届毕业生，就业往何处去？为什么他们还要继续科举？,BV1L8Gq6hEyG,想干什么自己选,2026-05-23 17:02:03,910,46,想干什么自己选,"['想干什么', '自己']",想干什么 自己,0.37281823912447976,负面,4,0.1550735772169351,-0.318562489421249
【劳动文化033】一千多万应届毕业生，就业往何处去？为什么他们还要继续科举？,BV1L8Gq6hEyG,现在制造业的环境是：企业声称严重缺人招不到人，然后开出月薪五六千不给加班费的工资让你996。但制造业本身的利润就很低，企业多一点用工成本哪怕多招几个人就会导致利润变0甚至亏损倒闭，全靠过量的订单撑着，于是就只能招牛马把人当牛马用还说缺人了😅😅恶性内卷带来的后果还在发酵,2026-05-23 22:15:43,48,3,现在制造业的环境是：企业声称严重缺人招不到人，然后开出月薪五六千不给加班费的工资让你996。但制造业本身的利润就很低，企业多一点用工成本哪怕多招几个人就会导致利润变0甚至亏损倒闭，全靠过量的订单撑着，于是就只能招牛马把人当牛马用还说缺人了 恶性内卷带来的后果还在发酵,"['制造业', '环境', '企业', '声称', '严重', '缺人招', '不到', '开出', '月薪', '五六千', '加班费', '工资', '996', '制造业', '本身', '利润', '企业', '多一点', '用工', '成本', '哪怕', '多招', '几个', '导致', '利润', '亏损', '倒闭', '全靠', '过量', '订单', '于是', '只能', '牛马', '当牛马', '缺人', '恶性', '内卷', '带来', '后果', '发酵']",制造业 环境 企业 声称 严重 缺人招 不到 开出 月薪 五六千 加班费 工资 996 制造业 本身 利润 企业 多一点 用工 成本 哪怕 多招 几个 导致 利润 亏损 倒闭 全靠 过量 订单 于是 只能 牛马 当牛马 缺人 恶性 内卷 带来 后果 发酵,1.4667111969401958e-09,负面,0,0.08421815676195193,-0.03516903176765639
【劳动文化033】一千多万应届毕业生，就业往何处去？为什么他们还要继续科举？,BV1L8Gq6hEyG,提供一条身边案例：在某985大四，身边没有考研和找到工作的同学，被一对一指导签署“以进行自由职业工作”，要求填月薪1.2-1.5w,2026-05-23 19:48:54,85,5,提供一条身边案例：在某985大四，身边没有考研和找到工作的同学，被一对一指导签署 以进行自由职业工作 ，要求填月薪1 2 1 5w,"['提供', '一条', '身边', '案例', '985', '大四', '身边', '考研', '找到', '工作', '同学', '一对一', '指导', '签署', '进行', '自由职业', '工作', '要求', '月薪', '5w']",提供 一条 身边 案例 985 大四 身边 考研 找到 工作 同学 一对一 指导 签署 进行 自由职业 工作 要求 月薪 5w,0.6249070687639326,正面,2,0.21678920129044446,0.14107537656769248
